Database,Count
P5875,155
P668,0
P7720,0
P10755,0
P8150,0
P894,3
P4901,0
P10676,0
P7381,0
P4011,4
P8608,1
P4596,0
P8109,0
P9108,0
P9801,0
P6480,0
P1104,4
P818,0
P5530,0
P8758,0
P3951,0
P8968,0
P6769,0
P7896,0
P10412,0
P8299,3
P9273,0
P7409,0
P8071,0
P9262,0
P7408,0
P8099,0
P9939,0
P5214,0
P2409,0
P8925,0
P8101,0
P888,0
P3431,0
P6982,0
P3784,0
P1154,0
P6661,0
P7864,0
P9633,0
P6179,539
P2008,1
P893,0
P4700,0
P9609,0
P9784,0
P889,2
P1610,0
P8103,0
P2007,0
P7710,0
P932,4
P3181,1
P8978,0
P3332,0
P6409,0
P698,1977
P7965,0
P9804,0
P9038,0
P7916,0
P8586,0
P3894,0
P819,0
P4028,4
