Database,Count
P2008,2663
P5875,4580617
P9038,8
P9939,357
P3894,56
P8608,150236
P7720,11
P10412,141
P6480,2080
P893,226
P818,347501
P3332,534
P4700,343
P6982,17803
P894,6665
P698,17803970
P7965,49
P888,239204
P8071,24
P8101,177
P3784,81
P6409,15021
P4596,3905
P9804,5
P3951,29
P8586,620
P8758,9437
P819,744102
P9273,18
P1104,170423
P1154,18315
P9801,9
P10676,2
P6769,985857
P7896,209
P7408,7
P8925,104
P8299,16302
P3181,246606
P6179,1540279
P8978,428732
P9633,3
P5530,12899
P7916,120
P8099,18
P6661,3
P9262,4
P7381,76
P10755,32
P8103,19
P3431,236
P932,6524428
P8109,22
P889,3517
P2409,7848
P4028,2868
P8150,13118
P2007,27316
P4901,421
P9609,10
P1610,1191
P9108,8779
P5214,1
P668,151
P7864,145
P7710,7
P9784,7
P7409,82
P8968,11
P4011,15909
